ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,17,87115,90550141
2023,4314902,70,46524,90220130
2023,4314902,14,85112,91260371
2023,4314902,204,62015,90550143
2023,4314902,15,47130,90220003
2023,4314902,19,63194,90480000
2023,4314902,41,64221,91010006
2023,4314902,19,85112,91760200
2023,4314902,15,47610,90030140
2023,4314902,3609,84116,90119900
2023,4314902,13,18130,91030310
2023,4314902,14,25110,91260240
2023,4314902,13,79112,90430001
2023,4314902,18,43991,91320230
2023,4314902,30,55108,90550005
2023,4314902,12,47849,91520610
2023,4314902,21,47211,90440120
2023,4314902,30,64221,91010002
2023,4314902,34,90019,90200290
2023,4314902,830,84116,90200001
2023,4314902,58,64239,90020900
2023,4314902,31,87115,91750060
2023,4314902,38,46338,90200041
2023,4314902,18,42219,90250680
2023,4314902,973,84116,90050030
2023,4314902,22,42227,90510010
2023,4314902,13,42227,91330391
2023,4314902,21,47539,91770001
2023,4314902,20,85112,90540110
2023,4314902,16,17338,91140310
2023,4314902,26,85112,91920530
2023,4314902,349,80200,90240520
2023,4314902,66,85201,90850150
2023,4314902,19,81214,90240010
2023,4314902,13,52508,90240000
2023,4314902,18,80200,90240540
2023,4314902,13,64221,90480004
2023,4314902,305,62040,90619900
2023,4314902,24,28232,91140410
2023,4314902,13,64361,90550143
2023,4314902,18,47113,91796101
2023,4314902,42,85112,91370020
2023,4314902,15,55108,90550005
2023,4314902,130,84116,90110150
2023,4314902,18,64221,90660080
2023,4314902,53,62015,90619900
2023,4314902,46,11135,90200040
2023,4314902,31,18130,90480001
2023,4314902,89,62023,90430001
2023,4314902,17,46818,90560005
2023,4314902,70,86216,90110000
2023,4314902,15,79112,90010030
2023,4314902,14,86402,90850100
2023,4314902,19,64239,90010191
2023,4314902,15,85414,90030140
2023,4314902,18,64221,91310002
2023,4314902,66,88006,90230061
2023,4314902,55,78302,91710030
2023,4314902,60,55108,90480003
2023,4314902,12,32990,90020100
2023,4314902,16,85112,90050080
2023,4314902,254,52401,90200310
2023,4314902,33,85112,91360070
2023,4314902,43,94120,90410006
2023,4314902,20,86402,90160180
2023,4314902,19,85112,90130020
2023,4314902,38,81214,90030000
2023,4314902,12,85112,91792800
2023,4314902,12,85112,91340400
2023,4314902,34,85121,91140380
2023,4314902,22,53202,91030480
2023,4314902,15,86402,90620001
2023,4314902,18,47849,91910680
2023,4314902,17,26515,91030270
2023,4314902,36,56201,90480004
2023,4314902,15,24521,90200140
2023,4314902,40,53202,90240470
2023,4314902,17,85112,90430140
2023,4314902,62,86224,90620220
2023,4314902,15,47113,90150053
2023,4314902,99,85139,90420121
2023,4314902,20,46818,90200310
2023,4314902,12,46338,90200041
2023,4314902,14,85121,91790100
2023,4314902,23,79112,90020008
2023,4314902,38,47113,91787170
2023,4314902,13,91015,90810240
2023,4314902,12,85121,91755000
2023,4314902,39,42227,90550142
2023,4314902,19,63119,90010190
2023,4314902,12,46656,90610270
2023,4314902,18,95126,91740000
2023,4314902,28,62023,90480001
2023,4314902,36,46630,91010003
