"zona","ca_minimo","ca_basico","ca_maximo","to_500m","to_maior_500m","gabarito_altura_max","frente","altura_ate_10m","altura_maior_10m","cota_parte","reviewed_at"
"AC-1",NULL,"0.6","0.6","0.6","0.6","20","5","3","3",NULL,"2021-10-26 17:40:06.110653-03"
"AC-2",NULL,"0.4","0.4","0.4","0.4","10","5","3","3",NULL,"2021-10-26 17:40:06.110653-03"
"AI",NULL,"1","4","0.85","0.7","28",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"AIa",NULL,"1","2","0.5","0.5","15",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"AVP-1",NULL,NULL,NULL,NULL,NULL,"28",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"AVP-2",NULL,"1","1","0.3","0.3","28",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZC","0.3","1","2","0.85","0.7","48","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZC-ZEIS","0.5","1","2","0.85","0.7",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZCa",NULL,"1","1","0.7","0.7","20","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZCOR-1","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZCOR-2","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZCOR-3","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZCORa",NULL,"1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZDE-1","0.5","1","2","0.7","0.7","28","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZDE-2","0.5","1","2","0.7","0.5","28","5","3","3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEIS-1","0.5","1","2.5","0.85","0.7",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEIS-2","0.5","1","4","0.85","0.7",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEIS-3","0.5","1","4","0.85","0.7",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEIS-4",NULL,"1","2","0.7","0.5",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEIS-5","0.5","1","4","0.85","0.7",NULL,"5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEM","0.5","1","2","0.85","0.7","28",NULL,NULL,"3","20","2021-10-26 17:40:06.110653-03"
"ZEMP","0.5","1","2","0.85","0.7","28",NULL,NULL,"3","40","2021-10-26 17:40:06.110653-03"
"ZEP",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-26 17:40:06.110653-03"
"ZEPAM",NULL,"0.1","0.1","0.1","0.1","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZER-1","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZER-2","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZERa",NULL,"1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEU","0.5","1","4","0.85","0.7",NULL,NULL,NULL,"3","20","2021-10-26 17:40:06.110653-03"
"ZEUa",NULL,"1","2","0.7","0.5","28",NULL,NULL,"3","40","2021-10-26 17:40:06.110653-03"
"ZEUP","0.5","1","2","0.85","0.7","28",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZEUPa",NULL,"1","1","0.7","0.5","28",NULL,NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZM","0.3","1","2","0.85","0.7","28","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZMa",NULL,"1","1","0.7","0.5","15","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZMIS","0.3","1","2","0.85","0.7","28","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZMISa",NULL,"1","1","0.7","0.5","15","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZOE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-10-26 17:40:06.110653-03"
"ZPDS",NULL,"1","1","0.35","0.25","20","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZPDSr",NULL,"0.2","0.2","0.2","0.15","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
"ZPI-1","0.5","1","1.5","0.7","0.7","28","5","3","3",NULL,"2021-10-26 17:40:06.110653-03"
"ZPI-2",NULL,"1","1.5","0.5","0.3","28","5","3","3",NULL,"2021-10-26 17:40:06.110653-03"
"ZPR","0.05","1","1","0.5","0.5","10","5",NULL,"3",NULL,"2021-10-26 17:40:06.110653-03"
